cell,alpha_r2,test_r2_r2_sel,rank_r2,alpha_cos,test_r2_cos_sel,rank_cos,alpha_differs,note
esm2_650m,10.0,0.18128585815429688,1,10.0,0.18128585815429688,1,False,same-α
esm2_150m,10.0,0.16220392286777496,2,10.0,0.16220392286777496,2,False,same-α
aa3,0.01,0.09036610275506973,3,0.01,0.09036610275506973,3,False,same-α
dnabert2_meanD,10.0,0.07661586254835129,4,10.0,0.07661586254835129,4,False,same-α
dnabert2_meanG,10.0,0.07555471360683441,5,10.0,0.07555471360683441,5,False,same-α
dnabert2_specialmean,10.0,0.07331138849258423,6,10.0,0.07331138849258423,6,False,same-α
dnabert2_meanmean,10.0,0.07327970862388611,7,10.0,0.07327970862388611,7,False,same-α
dnabert2_clsmean,100.0,0.061719801276922226,8,100.0,0.061719801276922226,8,False,same-α
aa2,0.1,0.060415297746658325,9,0.1,0.060415297746658325,9,False,same-α
kmer6,0.01,0.056991096585989,10,0.01,0.056991096585989,10,False,same-α
nt_v2_meanG,100.0,0.052169859409332275,11,100.0,0.052169859409332275,11,False,same-α
nt_v2_meanD,100.0,0.05133930966258049,12,100.0,0.05133930966258049,12,False,same-α
nt_v2_meanmean,10.0,0.051228463649749756,13,10.0,0.051228463649749756,13,False,same-α
nt_v2_specialmean,10.0,0.051118284463882446,14,10.0,0.051118284463882446,14,False,same-α
kmer,0.01,0.044808391481637955,15,0.01,0.044808391481637955,15,False,same-α
codon,0.1,0.04412605240941048,16,0.1,0.04412605240941048,16,False,same-α
dnabert2_maxmean,100.0,0.04367411509156227,17,100.0,0.04367411509156227,17,False,same-α
hyena_dna_meanG,10.0,0.04015718027949333,18,10.0,0.04015718027949333,18,False,same-α
hyena_dna_meanD,10.0,0.03990955650806427,19,10.0,0.03990955650806427,19,False,same-α
hyena_dna_specialmean,1.0,0.03854846954345703,20,1.0,0.03854846954345703,20,False,same-α
hyena_dna_meanmean,1.0,0.03848687931895256,21,1.0,0.03848687931895256,21,False,same-α
aa1,1.0,0.030807361006736755,22,1.0,0.030807361006736755,22,False,same-α
nt_v2_maxmean,1000.0,0.02657391130924225,23,1000.0,0.02657391130924225,23,False,same-α
tss_dnabert2_meanmean,0.1,0.01022122148424387,24,0.1,0.01022122148424387,24,False,same-α
hyena_dna_maxmean,100.0,0.009355132468044758,25,100.0,0.009355132468044758,25,False,same-α
nt_v2_clsmean,1000.0,0.008551512844860554,26,1000.0,0.008551512844860554,26,False,same-α
tss_nt_v2_meanmean,1.0,0.0027457382529973984,27,1.0,0.0027457382529973984,27,False,same-α
gena_lm_meanG,1000.0,0.0021615761797875166,28,1000.0,0.0021615761797875166,28,False,same-α
gena_lm_meanD,1000.0,0.0015528540825471282,29,1000.0,0.0015528540825471282,29,False,same-α
gena_lm_clsmean,100.0,0.00030209298711270094,30,100.0,0.00030209298711270094,30,False,same-α
gena_lm_meanmean,100.0,-0.0006444168393500149,31,100.0,-0.0006444168393500149,31,False,same-α
gena_lm_specialmean,100.0,-0.0029248197097331285,32,100.0,-0.0029248197097331285,32,False,same-α
tss_dnabert2_maxmean,1.0,-0.005060937721282244,33,1.0,-0.005060937721282244,33,False,same-α
tss_dnabert2_clsmean,10.0,-0.006160279270261526,34,10.0,-0.006160279270261526,34,False,same-α
tss_dnabert2_meanG,10.0,-0.011493642814457417,35,10.0,-0.011493642814457417,35,False,same-α
tss_nt_v2_maxmean,100.0,-0.013929960317909718,36,10.0,-0.014285027980804443,36,True,re-run
tss_hyena_dna_maxmean,1000.0,-0.015836535021662712,37,1000.0,-0.015836535021662712,37,False,same-α
tss_dnabert2_meanD,100.0,-0.01760244555771351,38,100.0,-0.01760244555771351,38,False,same-α
tss_hyena_dna_meanmean,0.1,-0.017973555251955986,39,0.1,-0.017973555251955986,39,False,same-α
tss_nt_v2_meanG,1000.0,-0.020431965589523315,40,1000.0,-0.020431965589523315,40,False,same-α
tss_nt_v2_clsmean,100.0,-0.020455922931432724,41,100.0,-0.020455922931432724,41,False,same-α
tss_gena_lm_meanmean,100.0,-0.020678900182247162,42,100.0,-0.020678900182247162,42,False,same-α
tss_gena_lm_clsmean,100.0,-0.021154940128326416,43,100.0,-0.021154940128326416,43,False,same-α
tss_gena_lm_maxmean,1000.0,-0.021359050646424294,44,1000.0,-0.021359050646424294,44,False,same-α
tss_gena_lm_meanG,1000.0,-0.022581851109862328,45,1000.0,-0.022581851109862328,45,False,same-α
gc,1000.0,-0.022586986422538757,46,1000.0,-0.022586986422538757,46,False,same-α
tss_hyena_dna_meanD,1000.0,-0.02261359430849552,47,1000.0,-0.02261359430849552,47,False,same-α
tss_nt_v2_meanD,1000.0,-0.022762009873986244,48,1000.0,-0.022762009873986244,48,False,same-α
tss_gena_lm_meanD,1000.0,-0.02295876480638981,49,1000.0,-0.02295876480638981,49,False,same-α
tss_hyena_dna_meanG,1000.0,-0.023169569671154022,50,1000.0,-0.023169569671154022,50,False,same-α
hyena_dna_clsmean,1.0,-0.024096354842185974,51,0.01,-0.02409645915031433,52,True,re-run
tss_hyena_dna_clsmean,1.0,-0.024096354842185974,52,0.01,-0.02409639023244381,51,True,re-run
gena_lm_maxmean,1000.0,-0.059365201741456985,53,1000.0,-0.059365201741456985,53,False,same-α
