encoder,pooling,feature_source,test_macro_f1,delta_f1_vs_4mer,test_kappa,delta_kappa_vs_4mer,test_accuracy,delta_accuracy_vs_4mer,C,timestamp
dnabert2,base,dnabert2,0.6490082238958392,-0.023230529236020536,0.6356436577852969,-0.06675634221470317,0.7720739219712526,-0.045174537987679675,10.0,2026-04-29T22:22:34+00:00
dnabert2,meanmean,dnabert2_meanmean,0.7219758391364188,0.04973708600455906,0.7091054302377868,0.0067054302377868025,0.8172484599589322,0.0,10.0,2026-04-30T07:26:39+00:00
dnabert2,specialmean,dnabert2_specialmean,0.7204667967531831,0.04822804362132338,0.705136398802516,0.0027363988025159713,0.8151950718685832,-0.002053388090349051,10.0,2026-05-07T17:34:53+00:00
dnabert2,meanD,dnabert2_meanD,0.7379664133596022,0.06572766022774246,0.7226082061131901,0.020208206113190075,0.8234086242299795,0.006160164271047264,10.0,2026-04-30T07:26:56+00:00
dnabert2,meanG,dnabert2_meanG,0.7274651370135241,0.05522638388166434,0.7065993141162294,0.0041993141162294245,0.813141683778234,-0.004106776180698213,10.0,2026-04-30T07:27:07+00:00
dnabert2,maxmean,dnabert2_maxmean,0.6144172142151761,-0.057821538916683624,0.5816814673855587,-0.12071853261444132,0.7330595482546202,-0.08418891170431209,10.0,2026-04-30T07:26:45+00:00
dnabert2,clsmean,dnabert2_clsmean,0.6547228208452524,-0.017515932286607416,0.6616419974252259,-0.04075800257477413,0.7905544147843943,-0.026694045174537995,1.0,2026-04-30T07:26:49+00:00
nt_v2,base,nt_v2,0.8030580910822073,0.1308193379503475,0.7984123486957625,0.09601234869576247,0.8726899383983573,0.05544147843942504,1.0,2026-04-29T22:22:38+00:00
nt_v2,meanmean,nt_v2_meanmean,0.7996614266770228,0.127422673545163,0.7982372319596929,0.09583723195969285,0.8726899383983573,0.05544147843942504,1.0,2026-04-30T07:27:11+00:00
nt_v2,specialmean,nt_v2_specialmean,0.7977162936639489,0.12547754053208915,0.7985481912437784,0.09614819124377838,0.8726899383983573,0.05544147843942504,1.0,2026-05-07T17:34:54+00:00
nt_v2,meanD,nt_v2_meanD,0.8275042891258189,0.1552655359939591,0.8213690261827592,0.11896902618275917,0.8870636550308009,0.06981519507186862,1.0,2026-04-30T07:27:31+00:00
nt_v2,meanG,nt_v2_meanG,0.8257201375450949,0.1534813844132351,0.8179062422797775,0.11550624227977746,0.8850102669404517,0.06776180698151946,1.0,2026-04-30T07:27:45+00:00
nt_v2,maxmean,nt_v2_maxmean,0.5864949259496461,-0.08574382718221363,0.6098626281765492,-0.09253737182345079,0.7638603696098563,-0.05338809034907599,0.1,2026-04-30T07:27:16+00:00
nt_v2,clsmean,nt_v2_clsmean,0.5927428419533682,-0.07949591117849153,0.5689003367810125,-0.13349966321898754,0.7268993839835729,-0.09034907597535935,1.0,2026-04-30T07:27:21+00:00
gena_lm,base,gena_lm,0.4940158341414686,-0.17822291899039117,0.45679077920008493,-0.2456092207999151,0.6550308008213552,-0.16221765913757702,10.0,2026-05-05T19:42:19+00:00
gena_lm,meanmean,gena_lm_meanmean,0.4940158341414686,-0.17822291899039117,0.45679077920008493,-0.2456092207999151,0.6550308008213552,-0.16221765913757702,10.0,2026-05-05T19:39:48+00:00
gena_lm,specialmean,gena_lm_specialmean,0.48291485087281244,-0.18932390225904733,0.4589037337795945,-0.24349626622040554,0.6673511293634496,-0.1498973305954826,1.0,2026-05-07T17:34:56+00:00
gena_lm,meanD,gena_lm_meanD,0.4842794727141747,-0.18795928041768506,0.4667799638613296,-0.23562003613867044,0.6652977412731006,-0.15195071868583165,1.0,2026-05-05T19:40:05+00:00
