n_tokens,n_chunks,total_bp,tss_bp,center_idx,tss_chunk_idx,tss_contain_chunk_idx,delta_chunks,center_chunk_bp_center,delta_bp,center_contains_tss,anchor_contains_tss,bp_per_token,chunk_bp_min,chunk_bp_max,ensembl_id,seq_len
39410,89,196608,98304,44,44,44,0,98524.0,220.0,True,True,4.988784572443542,768,2869,ENSG00000181409,196608
37400,84,196608,98304,42,42,42,0,98449.5,145.5,True,True,5.256898395721925,2068,2907,ENSG00000097007,196608
36835,83,196608,98304,41,41,41,0,98261.0,-43.0,True,True,5.3375322383602555,1393,2930,ENSG00000143322,196608
36891,83,196608,98304,41,41,41,0,97988.5,-315.5,True,True,5.32942994226234,1748,2897,ENSG00000182827,196608
37693,85,196608,98304,42,42,42,0,99027.0,723.0,True,True,5.216034807523943,1267,2962,ENSG00000115170,196608
38096,86,196608,98304,43,42,42,1,100557.0,2253.0,False,True,5.160856782864343,963,2876,ENSG00000135503,196608
37800,85,196608,98304,42,42,42,0,98722.0,418.0,True,True,5.201269841269841,1749,2829,ENSG00000123612,196608
37857,85,196608,98304,42,42,42,0,98793.5,489.5,True,True,5.1934384658055315,1997,2836,ENSG00000121989,196608
38149,86,196608,98304,43,42,42,1,100634.0,2330.0,False,True,5.153686859419644,1167,2788,ENSG00000114739,196608
38246,86,196608,98304,43,42,42,1,99542.5,1238.5,True,True,5.1406160121319875,1696,2874,ENSG00000139567,196608
38090,86,196608,98304,43,42,42,1,100913.0,2609.0,False,True,5.1616697295878184,920,2980,ENSG00000106992,196608
37728,85,196608,98304,42,41,41,1,99645.0,1341.0,False,True,5.211195928753181,1303,2857,ENSG00000004455,196608
37462,84,196608,98304,42,41,41,1,99902.0,1598.0,False,True,5.248198174149805,2253,2847,ENSG00000147853,196608
37458,84,196608,98304,42,41,41,1,99998.0,1694.0,False,True,5.2487586096428,2284,2879,ENSG00000162433,196608
37898,85,196608,98304,42,42,42,0,98188.0,-116.0,True,True,5.187819937727585,2228,2771,ENSG00000154027,196608
36449,82,196608,98304,41,40,40,1,99828.5,1524.5,False,True,5.394057450135806,1679,2980,ENSG00000085231,196608
37405,84,196608,98304,42,42,42,0,98773.0,469.0,True,True,5.256195695762599,2035,2881,ENSG00000140057,196608
37941,85,196608,98304,42,42,42,0,98213.5,-90.5,True,True,5.181940381118052,2447,2885,ENSG00000165695,196608
