n_tokens,n_chunks,total_bp,tss_bp,center_idx,tss_chunk_idx,tss_contain_chunk_idx,delta_chunks,center_chunk_bp_center,delta_bp,center_contains_tss,anchor_contains_tss,bp_per_token,chunk_bp_min,chunk_bp_max,ensembl_id,seq_len
31551,71,196608,98304,35,35,35,0,97669.5,-634.5,True,True,6.2314348198155365,1957,3766,ENSG00000181409,196608
28935,65,196608,98304,32,32,32,0,97201.0,-1103.0,True,True,6.7948159668221875,2657,4074,ENSG00000097007,196608
28415,64,196608,98304,32,32,32,0,99118.5,814.5,True,True,6.919162414217842,2070,3965,ENSG00000143322,196608
28310,64,196608,98304,32,31,31,1,99887.0,1583.0,True,True,6.9448251501236316,1557,4175,ENSG00000182827,196608
30067,68,196608,98304,34,33,33,1,99868.0,1564.0,False,True,6.53899624172681,1375,3805,ENSG00000115170,196608
30037,68,196608,98304,34,33,33,1,101497.5,3193.5,False,True,6.545527183140793,964,3967,ENSG00000135503,196608
29572,67,196608,98304,33,32,32,1,100651.0,2347.0,False,True,6.648451237657244,853,5429,ENSG00000123612,196608
30313,68,196608,98304,34,33,33,1,100599.5,2295.5,False,True,6.4859301289875635,2694,4888,ENSG00000121989,196608
30001,68,196608,98304,34,32,32,2,103288.0,4984.0,False,True,6.553381553948202,755,4451,ENSG00000114739,196608
30212,68,196608,98304,34,33,33,1,100007.0,1703.0,False,True,6.5076128690586525,2022,3966,ENSG00000139567,196608
29709,67,196608,98304,33,32,32,1,100154.5,1850.5,True,True,6.6177925881046145,1675,4161,ENSG00000106992,196608
29622,67,196608,98304,33,32,32,1,100675.0,2371.0,False,True,6.637229086489771,1171,3693,ENSG00000004455,196608
29386,66,196608,98304,33,32,32,1,100068.5,1764.5,False,True,6.6905329068263795,2466,3759,ENSG00000147853,196608
29206,66,196608,98304,33,32,32,1,102067.0,3763.0,False,True,6.731767445045539,1332,4388,ENSG00000162433,196608
30458,69,196608,98304,34,34,34,0,98936.5,632.5,True,True,6.455052859675619,805,3551,ENSG00000154027,196608
27673,62,196608,98304,31,30,30,1,100087.0,1783.0,False,True,7.104686878907238,3009,4049,ENSG00000085231,196608
29303,66,196608,98304,33,33,33,0,96876.0,-1428.0,True,True,6.70948367061393,2078,4368,ENSG00000140057,196608
30215,68,196608,98304,34,33,33,1,100008.5,1704.5,True,True,6.506966738374979,2178,3918,ENSG00000165695,196608
28990,65,196608,98304,32,31,31,1,100380.5,2076.5,False,True,6.781924801655744,2773,4648,ENSG00000155085,196608
29471,66,196608,98304,33,32,32,1,101252.5,2948.5,False,True,6.671236130433307,3076,3868,ENSG00000121057,196608
30460,69,196608,98304,34,34,34,0,99045.0,741.0,True,True,6.454629021667761,850,3915,ENSG00000111254,196608
22136,50,146609,98304,25,33,33,-8,75136.0,-23168.0,False,True,6.623102638236357,3127,3894,ENSG00000147081,196608
28829,65,196608,98304,32,31,31,1,100865.5,2561.5,False,True,6.8197995074404245,2081,4046,ENSG00000179841,196608
30001,68,196608,98304,34,33,33,1,101918.0,3614.0,False,True,6.553381553948202,729,4860,ENSG00000151320,196608
29716,67,196608,98304,33,32,32,1,100033.5,1729.5,False,True,6.616233678826221,1803,4109,ENSG00000118507,196608
28983,65,196608,98304,32,31,31,1,100570.5,2266.5,False,True,6.783562778180313,2977,4313,ENSG00000105127,196608
29168,66,196608,98304,33,33,33,0,99684.0,1380.0,True,True,6.740537575425123,1178,5209,ENSG00000127914,196608
28487,64,196608,98304,32,31,31,1,101763.5,3459.5,False,True,6.9016744479938215,2647,4024,ENSG00000108599,196608
30412,69,196608,98304,34,33,33,1,100530.5,2226.5,False,True,6.464816519794818,514,3610,ENSG00000023516,196608
28559,64,196608,98304,32,31,31,1,100485.5,2181.5,False,True,6.884274659476873,3001,3918,ENSG00000131016,196608
28986,65,196608,98304,32,32,32,0,98581.0,277.0,True,True,6.7828606913682465,2830,5432,ENSG00000170776,196608
27643,62,196608,98304,31,31,31,0,99235.0,931.0,True,True,7.112397351951669,2805,4824,ENSG00000186471,196608
27329,62,196608,98304,31,30,30,1,100842.5,2538.5,False,True,7.194116140363716,1170,4156,ENSG00000197976,196608
31322,71,196608,98304,35,35,35,0,97059.5,-1244.5,True,True,6.276993806270353,600,4107,ENSG00000142208,196608
28841,65,196608,98304,32,33,33,-1,95550.0,-2754.0,False,True,6.816961963870878,2270,4022,ENSG00000105221,196608
29864,67,196608,98304,33,33,33,0,99130.5,826.5,True,True,6.583444950442003,2806,4547,ENSG00000117020,196608
30613,69,196608,98304,34,34,34,0,98324.0,20.0,True,True,6.4223695815503214,1786,4327,ENSG00000171094,196608
30032,68,196608,98304,34,33,33,1,101895.5,3591.5,False,True,6.546616941928609,917,3689,ENSG00000139163,196608
30315,68,196608,98304,34,33,33,1,100757.0,2453.0,False,True,6.4855022266204845,2807,3994,ENSG00000143845,196608
29211,66,196608,98304,33,33,33,0,99723.0,1419.0,True,True,6.73061517921331,1439,3930,ENSG00000092820,196608
30176,68,196608,98304,34,33,33,1,99994.5,1690.5,False,True,6.515376458112407,1901,4595,ENSG00000108950,196608
29171,66,196608,98304,33,32,32,1,101309.0,3005.0,False,True,6.739844365979912,1417,4931,ENSG00000116199,196608
31613,71,194213,98304,35,35,35,0,97967.0,-337.0,True,True,6.14345364248885,2419,3667,ENSG00000177706,196608
30217,68,196608,98304,34,34,34,0,99515.0,1211.0,True,True,6.506536055862594,2384,3536,ENSG00000151422,196608
29459,66,196608,98304,33,32,32,1,101159.0,2855.0,False,True,6.673953630469466,3002,4194,ENSG00000182511,196608
28970,65,196608,98304,32,33,33,-1,96772.5,-1531.5,False,True,6.786606834656541,2687,4346,ENSG00000077782,196608
30255,68,196608,98304,34,34,34,0,99386.5,1082.5,True,True,6.498363906792266,2316,3833,ENSG00000066468,196608
30356,68,196608,98304,34,34,34,0,98261.0,-43.0,True,True,6.476742653841086,2904,3965,ENSG00000068078,196608
27683,62,196608,98304,31,30,30,1,99896.0,1592.0,True,True,7.10212043492396,2954,4165,ENSG00000160867,196608
29599,67,196608,98304,33,34,34,-1,94807.0,-3497.0,False,True,6.642386567113753,1254,4136,ENSG00000000938,196608
30050,68,196608,98304,34,34,34,0,98511.0,207.0,True,True,6.542695507487521,1055,4713,ENSG00000179431,196608
30324,68,196608,98304,34,34,34,0,99239.5,935.5,True,True,6.483577364463791,2994,3652,ENSG00000102755,196608
28440,64,196608,98304,32,31,31,1,100364.0,2060.0,False,True,6.913080168776371,2316,4124,ENSG00000122025,196608
30242,68,196608,98304,34,34,34,0,99426.0,1122.0,True,True,6.501157330864361,2274,3894,ENSG00000037280,196608
30493,69,196608,98304,34,33,33,1,100800.5,2496.5,False,True,6.447643721509855,1057,4987,ENSG00000111816,196608
30402,69,196608,98304,34,34,34,0,97915.5,-388.5,True,True,6.466942964278666,489,5193,ENSG00000010810,196608
30330,68,196608,98304,34,33,33,1,100125.5,1821.5,False,True,6.482294757665677,2785,4663,ENSG00000144649,196608
30249,68,196608,98304,34,33,33,1,101896.5,3592.5,False,True,6.499652881086978,2258,4638,ENSG00000164125,196608
29192,66,196608,98304,33,32,32,1,100733.5,2429.5,False,True,6.734995889284735,1296,4044,ENSG00000198814,196608
30561,69,196608,98304,34,33,33,1,99726.5,1422.5,True,True,6.433297339746736,1526,3590,ENSG00000196475,196608
28719,65,196608,98304,32,32,32,0,99071.0,767.0,True,True,6.84592081897002,1341,5175,ENSG00000175066,196608
23735,54,146609,98304,27,35,35,-8,76860.0,-21444.0,False,True,6.176911733726564,566,3618,ENSG00000185974,196608
29134,66,196608,98304,33,31,31,2,102490.0,4186.0,False,True,6.7484039266836,872,3958,ENSG00000173020,196608
30053,68,196608,98304,34,33,33,1,101028.5,2724.5,False,True,6.542042391774531,1072,3597,ENSG00000100077,196608
29441,66,196608,98304,33,33,33,0,98286.0,-18.0,True,True,6.678034034170035,2952,4038,ENSG00000125388,196608
28824,65,196608,98304,32,31,31,1,101627.0,3323.0,False,True,6.820982514571191,1810,3920,ENSG00000198873,196608
30286,68,196608,98304,34,33,33,1,100506.5,2202.5,False,True,6.491712342336393,2745,3912,ENSG00000198055,196608
28866,65,196608,98304,32,32,32,0,99015.5,711.5,True,True,6.811057992101434,2023,4760,ENSG00000114124,196608
29992,68,196608,98304,34,33,33,1,100482.0,2178.0,False,True,6.555348092824754,897,4095,ENSG00000105723,196608
29749,67,196608,98304,33,33,33,0,98669.0,365.0,True,True,6.608894416619046,1936,3855,ENSG00000082701,196608
