n_tokens,n_chunks,total_bp,tss_bp,center_idx,tss_chunk_idx,tss_contain_chunk_idx,delta_chunks,center_chunk_bp_center,delta_bp,center_contains_tss,anchor_contains_tss,bp_per_token,chunk_bp_min,chunk_bp_max,ensembl_id,seq_len
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000181409,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000097007,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000143322,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000182827,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000115170,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000135503,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000123612,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000121989,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000114739,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000139567,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000106992,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000004455,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000147853,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000162433,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000154027,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000085231,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000140057,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000165695,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000155085,196608
196608,26,196608,98304,13,12,12,1,103936.0,5632.0,False,True,1.0,4608,8192,ENSG00000121057,196608
